"analysis_ID","analysis_type","sample_name","timepoint","location","NPOC_dilution"
"DOC_CMPS_KFP_0177","DOC","anoxia_043","24-hour","upland-A","1"
"DOC_CMPS_KFP_0178","DOC","anoxia_044","24-hour","upland-A","1"
"DOC_CMPS_KFP_0179","DOC","anoxia_045","24-hour","upland-A","1"
"DOC_CMPS_KFP_0180","DOC","anoxia_046","24-hour","upland-A","1"
"DOC_CMPS_KFP_0181","DOC","anoxia_047","24-hour","upland-A","1"
"DOC_CMPS_KFP_0182","DOC","anoxia_048","24-hour","upland-B","1"
"DOC_CMPS_KFP_0183","DOC","anoxia_049","24-hour","upland-B","1"
"DOC_CMPS_KFP_0184","DOC","anoxia_050","24-hour","upland-B","1"
"DOC_CMPS_KFP_0185","DOC","anoxia_051","24-hour","upland-B","1"
"DOC_CMPS_KFP_0186","DOC","anoxia_052","24-hour","upland-B","1"
"DOC_CMPS_KFP_0187","DOC","anoxia_053","24-hour","transition-A","1"
"DOC_CMPS_KFP_0188","DOC","anoxia_054","24-hour","transition-A","1"
"DOC_CMPS_KFP_0189","DOC","anoxia_055","24-hour","transition-A","1"
"DOC_CMPS_KFP_0190","DOC","anoxia_056","24-hour","transition-A","1"
"DOC_CMPS_KFP_0191","DOC","anoxia_057","24-hour","transition-A","1"
"DOC_CMPS_KFP_0192","DOC","anoxia_058","24-hour","wetland-A","1"
"DOC_CMPS_KFP_0193","DOC","anoxia_059","24-hour","wetland-A","1"
"DOC_CMPS_KFP_0194","DOC","anoxia_060","24-hour","wetland-A","1"
"DOC_CMPS_KFP_0195","DOC","anoxia_061","24-hour","wetland-A","1"
"DOC_CMPS_KFP_0196","DOC","anoxia_062","24-hour","wetland-A","1"
"DOC_CMPS_KFP_0197","DOC","blank-filter","24-hour","water","1"
"DOC_CMPS_KFP_0198","DOC","blank-solution",,,"1"
"DOC_CMPS_KFP_0199","DOC","anoxia_001","time-zero","upland-A","1"
"DOC_CMPS_KFP_0200","DOC","anoxia_002","time-zero","upland-A","1"
"DOC_CMPS_KFP_0201","DOC","anoxia_003","time-zero","upland-A","1"
"DOC_CMPS_KFP_0202","DOC","anoxia_004","time-zero","upland-A","1"
"DOC_CMPS_KFP_0203","DOC","anoxia_005","time-zero","upland-A","1"
"DOC_CMPS_KFP_0204","DOC","anoxia_006","time-zero","upland-B","1"
"DOC_CMPS_KFP_0205","DOC","anoxia_007","time-zero","upland-B","1"
"DOC_CMPS_KFP_0206","DOC","anoxia_008","time-zero","upland-B","1"
"DOC_CMPS_KFP_0207","DOC","anoxia_009","time-zero","upland-B","1"
"DOC_CMPS_KFP_0208","DOC","anoxia_010","time-zero","upland-B","1"
"DOC_CMPS_KFP_0209","DOC","anoxia_011","time-zero","transition-A","1"
