,Anion Summary Report,,,,,,,
,,,,,,,,
No. ,Name ,Dilution ,Time ,Area ,Rel.Area ,Height ,Rel.Height ,Amount 
,,,min,µS*min,%,µS,%,ppm
,,,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total
,,,Fluoride,Fluoride,Fluoride,Fluoride,Fluoride,Fluoride
1,DI Water,1.0000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2,10 ppm Anion  Std,1.0000,2.763  ,3.0007  ,17.11,33.31  ,21.15,5.0290  
3,DI water,1.0000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4,1600x,1.0000,2.763  ,0.0151  ,8.24,0.11  ,7.47,0.0059  
5,800x,1.0000,2.753  ,0.0166  ,6.31,0.19  ,8.68,0.0085  
6,400x,1.0000,2.763  ,0.0296  ,6.63,0.37  ,9.54,0.0303  
7,200x,1.0000,2.757  ,0.0639  ,7.09,0.82  ,10.71,0.0880  
8,20x,1.0000,2.763  ,0.6489  ,7.58,7.94  ,10.69,1.0722  
9,5x,1.0000,2.763  ,2.3787  ,7.33,27.00  ,10.11,3.9826  
10,10 ppm Anion  Std,1.0000,2.773  ,3.0003  ,17.09,33.42  ,21.18,5.0283  
11,062,1.0000,2.757  ,0.0395  ,0.24,0.51  ,0.37,0.0469  
12,055,1.0000,2.760  ,0.0934  ,0.78,1.15  ,1.44,0.1376  
13,043,1.0000,2.763  ,0.0244  ,0.43,0.31  ,0.81,0.0215  
14,10 ppm Anion  Std,1.0000,2.763  ,2.9224  ,17.20,32.12  ,21.05,4.8972  
15,10 ppm Anion  Std,1.0000,2.767  ,2.9187  ,17.18,32.15  ,21.06,4.8912  
16,1,1.0000,2.760  ,0.0306  ,0.32,0.39  ,0.63,0.0320  
17,2,1.0000,2.757  ,0.0333  ,0.36,0.41  ,0.68,0.0365  
18,3,1.0000,2.763  ,0.0336  ,0.37,0.34  ,0.57,0.0371  
19,4,1.0000,2.747  ,0.0348  ,0.36,0.45  ,0.71,0.0390  
20,5,1.0000,2.760  ,0.0288  ,0.30,0.36  ,0.57,0.0289  
21,6,1.0000,2.760  ,0.0279  ,3.39,0.36  ,5.02,0.0274  
22,7,1.0000,2.760  ,0.0326  ,4.04,0.35  ,5.05,0.0354  
23,8,1.0000,2.757  ,0.0342  ,4.28,0.39  ,5.63,0.0380  
24,9,1.0000,2.753  ,0.0342  ,4.01,0.39  ,5.32,0.0381  
25,10,1.0000,2.757  ,0.0357  ,4.28,0.39  ,5.44,0.0406  
26,11,1.0000,2.760  ,0.0408  ,0.69,0.51  ,1.23,0.0491  
27,12,1.0000,2.757  ,0.0419  ,0.78,0.55  ,1.43,0.0510  
28,13,1.0000,2.757  ,0.0487  ,1.04,0.61  ,1.80,0.0625  
29,14,1.0000,2.757  ,0.0695  ,1.49,0.87  ,2.61,0.0974  
30,15,1.0000,2.753  ,0.0539  ,1.17,0.68  ,2.04,0.0712  
31,16,1.0000,2.763  ,0.0385  ,0.26,0.47  ,0.37,0.0454  
32,17,1.0000,2.760  ,0.0405  ,0.25,0.50  ,0.38,0.0486  
33,18,1.0000,2.760  ,0.0279  ,0.20,0.37  ,0.31,0.0274  
34,19,1.0000,2.763  ,0.0366  ,0.29,0.44  ,0.41,0.0421  
35,20,1.0000,2.757  ,0.0426  ,0.32,0.51  ,0.45,0.0521  
36,21,1.0000,2.810  ,0.0054  ,5.70,0.07  ,10.99,n.a.
37,A-5x,1.0000,2.763  ,2.3740  ,7.33,26.68  ,10.02,3.9747  
