,Cation Summary Report,,,,,,
,,,,,,,
No. ,Name ,Time ,Area ,Rel.Area ,Height ,Rel.Height ,Amount 
,,min,µS*min,%,µS,%,mg/l
,,CD_1,CD_1,CD_1,CD_1,CD_1,CD_1
,,Lithium,Lithium,Lithium,Lithium,Lithium,Lithium
1,DI Water,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2,!00x Cation Std,6.107  ,1.3493  ,9.80,7.31  ,22.63,0.4838  
3,DI water,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4,1600x,6.093  ,0.0711  ,9.52,0.42  ,20.69,0.0306  
5,800x,6.103  ,0.1514  ,9.56,0.87  ,20.94,0.0591  
6,400x,6.097  ,0.3147  ,9.51,1.75  ,21.32,0.1170  
7,200x,6.103  ,0.7261  ,9.66,3.96  ,22.04,0.2629  
8,20x,6.123  ,7.0338  ,10.18,37.06  ,24.64,2.4992  
9,5x,6.130  ,26.8531  ,10.44,129.75  ,27.00,9.5260  
10,!00x Cation Std,6.107  ,1.3493  ,9.84,7.33  ,22.71,0.4838  
11,DI water,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
12,!00x Cation Std,6.083  ,1.3480  ,9.80,7.31  ,22.62,0.4833  
13,!00x Cation Std,6.130  ,13.4885  ,10.31,69.81  ,25.97,4.7877  
14,062,6.077  ,0.0004  ,0.00,0.00  ,0.01,0.0056  
15,055,6.067  ,0.0004  ,0.00,0.00  ,0.00,0.0056  
16,043,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
17,100x Cation Std,6.100  ,1.3500  ,9.80,7.32  ,22.61,0.4841  
18,10x Cation Std,6.137  ,13.4931  ,10.31,69.77  ,25.89,4.7893  
19,IV 10x Cation Std,6.133  ,21.2232  ,35.67,103.41  ,56.48,7.5300  
20,IV 10x Cation Std,6.137  ,21.2558  ,35.66,103.60  ,56.34,7.5415  
21,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
22,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
23,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
24,4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
25,5,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
26,6,6.080  ,0.0002  ,0.02,0.00  ,0.04,0.0055  
27,7,6.083  ,0.0001  ,0.01,0.00  ,0.03,0.0055  
28,8,6.080  ,0.0001  ,0.01,0.00  ,0.03,0.0055  
29,9,6.070  ,0.0001  ,0.01,0.00  ,0.02,0.0055  
30,10,6.080  ,0.0001  ,0.01,0.00  ,0.02,0.0055  
31,11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
32,12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
33,13,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
34,14,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
35,15,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
36,16,6.073  ,0.0001  ,0.00,0.00  ,0.00,0.0055  
37,17,6.053  ,0.0002  ,0.00,0.00  ,0.00,0.0055  
38,18,6.063  ,0.0002  ,0.00,0.00  ,0.00,0.0055  
39,19,6.073  ,0.0002  ,0.00,0.00  ,0.01,0.0055  
40,20,6.070  ,0.0002  ,0.00,0.00  ,0.01,0.0055  
41,21,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
42,C-5x,6.157  ,26.8996  ,10.45,129.99  ,27.00,9.5425  
43,MQ Blank 1,6.063  ,0.0002  ,0.94,0.00  ,3.07,0.0055  
44,22,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
45,23,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
46,24,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
47,25,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
48,26,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
49,27,6.077  ,0.0002  ,0.02,0.00  ,0.04,0.0055  
50,28,6.080  ,0.0002  ,0.02,0.00  ,0.04,0.0055  
51,29,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
52,30,6.073  ,0.0002  ,0.01,0.00  ,0.03,0.0055  
53,31,6.077  ,0.0002  ,0.01,0.00  ,0.03,0.0055  
54,32,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
55,33,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
56,34,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
57,35,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
58,36,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
59,37,6.080  ,0.0004  ,0.00,0.00  ,0.01,0.0056  
60,IV 10x Cation Std,6.137  ,21.2535  ,35.71,103.11  ,56.42,7.5407  
61,38,6.083  ,0.0006  ,0.00,0.00  ,0.01,0.0057  
62,39,6.060  ,0.0005  ,0.00,0.00  ,0.01,0.0056  
63,40,6.077  ,0.0004  ,0.00,0.00  ,0.01,0.0056  
64,41,6.077  ,0.0003  ,0.00,0.00  ,0.01,0.0055  
65,42,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
66,C-400x,6.087  ,0.3146  ,9.43,1.76  ,21.23,0.1170  
67,MQ Blank 2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
68,43,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
69,44,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
70,45,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
71,46,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
72,47,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
73,48,6.073  ,0.0002  ,0.01,0.00  ,0.03,0.0055  
74,49,6.057  ,0.0002  ,0.01,0.00  ,0.03,0.0055  
75,50,6.073  ,0.0002  ,0.01,0.00  ,0.03,0.0055  
76,51,6.067  ,0.0002  ,0.01,0.00  ,0.03,0.0055  
77,52,6.077  ,0.0002  ,0.01,0.00  ,0.03,0.0055  
78,53,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
79,54,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
80,55,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
81,56,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
82,57,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
83,58,6.067  ,0.0004  ,0.00,0.00  ,0.01,0.0056  
84,59,6.073  ,0.0005  ,0.00,0.00  ,0.01,0.0056  
85,60,6.070  ,0.0004  ,0.00,0.00  ,0.01,0.0056  
86,61,6.073  ,0.0004  ,0.00,0.00  ,0.01,0.0056  
87,62,6.077  ,0.0004  ,0.00,0.00  ,0.01,0.0056  
88,63,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
89,C-200x,6.110  ,0.7280  ,9.56,3.98  ,21.93,0.2635  
90,MQ Blank 3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
91,64,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
92,65,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
93,66,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
94,67,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
95,68,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
96,69,6.080  ,0.0004  ,0.02,0.00  ,0.05,0.0056  
97,70,6.070  ,0.0003  ,0.01,0.00  ,0.03,0.0055  
98,71,6.070  ,0.0003  ,0.01,0.00  ,0.03,0.0055  
99,72,6.080  ,0.0003  ,0.01,0.00  ,0.04,0.0055  
100,73,5.343  ,0.0010  ,0.05,0.00  ,0.03,0.0058  
101,74,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
102,75,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
103,76,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
104,77,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
105,78,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
106,79,6.063  ,0.0002  ,0.00,0.00  ,0.00,0.0055  
107,80,6.073  ,0.0004  ,0.00,0.00  ,0.01,0.0056  
108,81,6.067  ,0.0004  ,0.00,0.00  ,0.00,0.0056  
109,82,6.083  ,0.0005  ,0.00,0.00  ,0.01,0.0056  
110,83,6.073  ,0.0004  ,0.00,0.00  ,0.01,0.0056  
111,84,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
112,C-800x,6.090  ,0.1525  ,9.31,0.87  ,20.77,0.0595  
113,MQ Blank 4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
114,SB 1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
115,SB 2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
116,SB 3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
117,SB 4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
118,IV 10x Cation Std,6.140  ,21.3153  ,35.65,103.06  ,56.41,7.5626  
,Sum:,376.630  ,180.684  ,301.443  ,892.503  ,599.454  ,64.397  
,Average:,6.075  ,2.914  ,4.862  ,14.395  ,9.669  ,1.039  
,Rel.Std.Dev:,1.603 %,246.523 %,189.482 %,243.472 %,165.259 %,245.235 %
,,,,,,,
No. ,Name ,Time ,Area ,Rel.Area ,Height ,Rel.Height ,Amount 
,,min,µS*min,%,µS,%,mg/l
,,CD_1,CD_1,CD_1,CD_1,CD_1,CD_1
,,Sodium,Sodium,Sodium,Sodium,Sodium,Sodium
1,DI Water,8.083  ,0.0008  ,7.17,0.00  ,13.41,0.0192  
2,!00x Cation Std,8.097  ,1.3723  ,9.96,6.08  ,18.82,1.9336  
3,DI water,8.077  ,0.0002  ,3.76,0.00  ,14.13,0.0183  
4,1600x,8.093  ,0.0721  ,9.65,0.35  ,17.18,0.1187  
5,800x,8.100  ,0.1539  ,9.72,0.72  ,17.42,0.2328  
6,400x,8.093  ,0.3224  ,9.75,1.46  ,17.76,0.4681  
7,200x,8.093  ,0.7459  ,9.92,3.31  ,18.44,1.0592  
8,20x,8.100  ,7.1486  ,10.35,31.22  ,20.75,9.9962  
9,5x,8.073  ,27.2710  ,10.60,116.88  ,24.32,38.0833  
