[Header]	
System	TOC_TNb Standard	
S/W Version	1.00	
User		
Date/Time	8/9/2022 10:26:48 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Comments	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	Rem.	SD Area	CV Area	SD Conc	CV Conc	Vial	Excluded	Inj. Vol.	Auto. Dil.	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal		1.00			8/5/2022 3:02:48 PM	1	1	NPOC	0.000	0.000	0.000	 	 	 	*******	0.000	0.00	0.000	0.00	85	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal		1.00			8/5/2022 3:04:54 PM	1	2	NPOC	0.000	0.000	0.000	 	 	 	*******	0.000	0.00	0.000	0.00	85	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal		1.00			8/5/2022 3:07:01 PM	1	3	NPOC	0.000	0.000	0.000	 	 	 	*******	0.000	0.00	0.000	0.00	85	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal		1.00			8/5/2022 3:14:32 PM	2	1	NPOC	6.594	5.540	1.000	 	 	 	*******	0.04267	0.77	0.000	0.00	86	1	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal		1.00			8/5/2022 3:16:50 PM	2	2	NPOC	5.585	5.540	1.000	 	 	 	*******	0.04267	0.77	0.000	0.00	86	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal		1.00			8/5/2022 3:19:06 PM	2	3	NPOC	5.755	5.540	1.000	 	 	 	*******	0.04267	0.77	0.000	0.00	86	1	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal		1.00			8/5/2022 3:21:26 PM	2	4	NPOC	5.500	5.540	1.000	 	 	 	*******	0.04267	0.77	0.000	0.00	86	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal		1.00			8/5/2022 3:23:45 PM	2	5	NPOC	5.536	5.540	1.000	 	 	 	*******	0.04267	0.77	0.000	0.00	86	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal		1.00			8/5/2022 3:31:55 PM	3	1	NPOC	17.26	17.04	5.000	 	 	 	*******	0.2854	1.67	0.000	0.00	87	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal		1.00			8/5/2022 3:34:28 PM	3	2	NPOC	16.72	17.04	5.000	 	 	 	*******	0.2854	1.67	0.000	0.00	87	0	50	1.000	
