"sample_label","analysis","name","value","region","site","transect","tree_number","horizon"
"COMPASS_Dec2021_061","GWC","gwc_perc",51.62,"WLE","OWC","upland","101","A"
"COMPASS_Dec2021_062","GWC","gwc_perc",51.96,"WLE","OWC","upland","102","A"
"COMPASS_Dec2021_063","GWC","gwc_perc",51.67,"WLE","OWC","upland","103","A"
"COMPASS_Dec2021_064","GWC","gwc_perc",41.5,"WLE","OWC","upland","104","A"
"COMPASS_Dec2021_065","GWC","gwc_perc",53.73,"WLE","OWC","upland","105","A"
"COMPASS_Dec2021_066","GWC","gwc_perc",38.8,"WLE","OWC","upland","106","A"
"COMPASS_Dec2021_067","GWC","gwc_perc",53.59,"WLE","OWC","upland","107","A"
"COMPASS_Dec2021_068","GWC","gwc_perc",67.74,"WLE","OWC","upland","108","A"
"COMPASS_Dec2021_069","GWC","gwc_perc",50.15,"WLE","OWC","upland","109","A"
"COMPASS_Dec2021_107","GWC","gwc_perc",18.78,"WLE","OWC","upland","101","B"
"COMPASS_Dec2021_108","GWC","gwc_perc",16.44,"WLE","OWC","upland","105","B"
"COMPASS_Dec2021_109","GWC","gwc_perc",16.96,"WLE","OWC","upland","106","B"
"COMPASS_Dec2021_110","GWC","gwc_perc",18.37,"WLE","OWC","upland","107","B"
"COMPASS_Dec2021_111","GWC","gwc_perc",18.57,"WLE","OWC","upland","108","B"
"COMPASS_Dec2021_070","GWC","gwc_perc",79.93,"WLE","OWC","transition","120","A"
"COMPASS_Dec2021_071","GWC","gwc_perc",61.89,"WLE","OWC","transition","121","A"
"COMPASS_Dec2021_072","GWC","gwc_perc",90.71,"WLE","OWC","transition","122","A"
"COMPASS_Dec2021_073","GWC","gwc_perc",69.72,"WLE","OWC","transition","123","A"
"COMPASS_Dec2021_074","GWC","gwc_perc",100.33,"WLE","OWC","transition","124","A"
"COMPASS_Dec2021_075","GWC","gwc_perc",80.13,"WLE","OWC","transition","125","A"
"COMPASS_Dec2021_076","GWC","gwc_perc",81.61,"WLE","OWC","transition","126","A"
"COMPASS_Dec2021_077","GWC","gwc_perc",76.47,"WLE","OWC","transition","127","A"
"COMPASS_Dec2021_078","GWC","gwc_perc",109.2,"WLE","OWC","transition","128","A"
"COMPASS_Dec2021_112","GWC","gwc_perc",31.93,"WLE","OWC","transition","120","B"
"COMPASS_Dec2021_113","GWC","gwc_perc",19.23,"WLE","OWC","transition","121","B"
"COMPASS_Dec2021_114","GWC","gwc_perc",38.52,"WLE","OWC","transition","122","B"
"COMPASS_Dec2021_115","GWC","gwc_perc",35.01,"WLE","OWC","transition","123","B"
"COMPASS_Dec2021_116","GWC","gwc_perc",35.09,"WLE","OWC","transition","124","B"
"COMPASS_Dec2021_117","GWC","gwc_perc",40.87,"WLE","OWC","transition","125","B"
"COMPASS_Dec2021_118","GWC","gwc_perc",32.67,"WLE","OWC","transition","126","B"
"COMPASS_Dec2021_119","GWC","gwc_perc",26.75,"WLE","OWC","transition","127","B"
"COMPASS_Dec2021_120","GWC","gwc_perc",34.96,"WLE","OWC","transition","128","B"
"COMPASS_Dec2021_079","GWC","gwc_perc",122.4,"WLE","OWC","wte","W1","A"
"COMPASS_Dec2021_080","GWC","gwc_perc",93.75,"WLE","OWC","wte","W2","A"
"COMPASS_Dec2021_081","GWC","gwc_perc",111.19,"WLE","OWC","wte","W3","A"
"COMPASS_Dec2021_082","GWC","gwc_perc",101.81,"WLE","OWC","wte","W4","A"
"COMPASS_Dec2021_083","GWC","gwc_perc",82.47,"WLE","OWC","wte","W5","A"
"COMPASS_Dec2021_084","GWC","gwc_perc",122.35,"WLE","OWC","wte","W6","A"
"COMPASS_Dec2021_085","GWC","gwc_perc",158.74,"WLE","OWC","wte","W7","A"
"COMPASS_Dec2021_086","GWC","gwc_perc",116.67,"WLE","OWC","wte","W8","A"
"COMPASS_Dec2021_087","GWC","gwc_perc",142.15,"WLE","OWC","wte","W9","A"
"COMPASS_Dec2021_088","GWC","gwc_perc",116.4,"WLE","OWC","wetland","WC1","A"
"COMPASS_Dec2021_089","GWC","gwc_perc",177.16,"WLE","OWC","wetland","WC2","A"
"COMPASS_Dec2021_090","GWC","gwc_perc",132.62,"WLE","OWC","wetland","WC3","A"
"COMPASS_Dec2021_091","GWC","gwc_perc",176.76,"WLE","OWC","wetland","WC4","A"
"COMPASS_Dec2021_092","GWC","gwc_perc",124.55,"WLE","OWC","wetland","WC5","A"
"COMPASS_Dec2021_093","GWC","gwc_perc",170.1,"WLE","OWC","wetland","WC6","A"
"COMPASS_Dec2021_094","GWC","gwc_perc",149.38,"WLE","OWC","wetland","WC7","A"
"COMPASS_Dec2021_095","GWC","gwc_perc",122.58,"WLE","OWC","wetland","WC8","A"
"COMPASS_Dec2021_061","PH","pH",6.2,"WLE","OWC","upland","101","A"
"COMPASS_Dec2021_061","PH","specific_conductance_ms_cm",0.1,"WLE","OWC","upland","101","A"
"COMPASS_Dec2021_062","PH","pH",6.6,"WLE","OWC","upland","102","A"
"COMPASS_Dec2021_062","PH","specific_conductance_ms_cm",0.07,"WLE","OWC","upland","102","A"
"COMPASS_Dec2021_063","PH","pH",6.3,"WLE","OWC","upland","103","A"
"COMPASS_Dec2021_063","PH","specific_conductance_ms_cm",0.07,"WLE","OWC","upland","103","A"
"COMPASS_Dec2021_064","PH","pH",5,"WLE","OWC","upland","104","A"
