"sample_name","ion","amount_ppm","amount_ug_g"
"anoxia_001","Chloride",0.2861,9.51
"anoxia_002","Chloride",0.2866,9.53
"anoxia_003","Chloride",0.2583,8.58
"anoxia_004","Chloride",0.3053,10.13
"anoxia_005","Chloride",0.2874,9.52
"anoxia_006","Chloride",0.173,6.16
"anoxia_007","Chloride",0.1393,4.96
"anoxia_008","Chloride",0.1423,5.06
"anoxia_009","Chloride",0.1662,5.88
"anoxia_010","Chloride",0.1741,6.18
"anoxia_011","Chloride",0.7944,27.21
"anoxia_012","Chloride",0.849,29
"anoxia_013","Chloride",0.7887,26.94
"anoxia_014","Chloride",0.8616,29.46
"anoxia_015","Chloride",0.9192,31.27
"anoxia_016","Chloride",1.8398,62.53
"anoxia_017","Chloride",1.8256,62.05
"anoxia_018","Chloride",1.7038,58.06
"anoxia_019","Chloride",1.6056,54.76
"anoxia_020","Chloride",1.7056,57.82
"anoxia_021","Chloride",NA,NA
"anoxia_022","Chloride",0.3168,10.48
"anoxia_023","Chloride",0.3121,10.41
"anoxia_024","Chloride",0.3233,10.71
"anoxia_025","Chloride",0.3225,10.66
"anoxia_026","Chloride",0.3154,10.47
"anoxia_027","Chloride",0.1477,5.22
"anoxia_028","Chloride",0.1532,5.44
"anoxia_029","Chloride",0.1477,5.26
"anoxia_030","Chloride",0.1586,5.61
"anoxia_031","Chloride",0.1478,5.23
"anoxia_032","Chloride",1.3555,46.15
"anoxia_033","Chloride",1.2267,41.8
"anoxia_034","Chloride",1.2315,42.03
"anoxia_035","Chloride",1.038,35.55
"anoxia_036","Chloride",1.0644,36.3
"anoxia_037","Chloride",1.916,65.23
"anoxia_038","Chloride",1.8776,64.03
"anoxia_039","Chloride",1.8729,63.6
"anoxia_040","Chloride",1.8972,64.76
"anoxia_041","Chloride",2.0009,68.36
"anoxia_042","Chloride",NA,NA
"anoxia_043","Chloride",0.3442,11.39
"anoxia_044","Chloride",0.3457,11.5
"anoxia_045","Chloride",0.3616,12
"anoxia_046","Chloride",0.167,5.52
"anoxia_047","Chloride",0.2077,6.91
"anoxia_048","Chloride",0.1927,6.84
"anoxia_049","Chloride",0.1536,5.45
"anoxia_050","Chloride",0.1679,5.96
"anoxia_051","Chloride",0.1607,5.69
"anoxia_052","Chloride",0.1501,5.33
"anoxia_053","Chloride",1.5644,53.3
"anoxia_054","Chloride",1.5858,53.89
"anoxia_055","Chloride",1.5093,51.21
"anoxia_056","Chloride",1.3685,46.55
"anoxia_057","Chloride",0.7159,24.56
"anoxia_058","Chloride",2.0389,69.24
"anoxia_059","Chloride",1.9797,67.34
"anoxia_060","Chloride",1.6307,55.52
"anoxia_061","Chloride",1.9362,65.98
"anoxia_062","Chloride",1.8862,64.22
"anoxia_063","Chloride",NA,NA
"anoxia_064","Chloride",0.623,20.6
"anoxia_065","Chloride",0.6211,20.62
"anoxia_066","Chloride",0.5662,18.8
"anoxia_067","Chloride",0.5828,19.43
"anoxia_068","Chloride",0.5727,19.03
"anoxia_069","Chloride",0.427,15.13
"anoxia_070","Chloride",0.4319,15.33
"anoxia_071","Chloride",0.4349,15.43
"anoxia_072","Chloride",0.3459,12.27
"anoxia_073","Chloride",0.4118,14.59
"anoxia_074","Chloride",1.5116,51.9
"anoxia_075","Chloride",1.6276,55.13
"anoxia_076","Chloride",1.7004,57.94
"anoxia_077","Chloride",1.201,41.03
"anoxia_078","Chloride",1.98,67.12
"anoxia_079","Chloride",1.879,63.92
"anoxia_080","Chloride",1.9173,65.22
"anoxia_081","Chloride",2.086,70.9
"anoxia_082","Chloride",1.8785,63.84
"anoxia_083","Chloride",1.5435,52.59
"anoxia_084","Chloride",NA,NA
"anoxia_001","Sulfate",1.5474,51.42
"anoxia_002","Sulfate",1.4749,49.06
"anoxia_003","Sulfate",1.3633,45.3
"anoxia_004","Sulfate",1.6005,53.1
